,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A10071301,397920,0,0,0,0,0,10359322,20110690,952840,5107400
1,A10023352,,,,,,,,,,
2,A10026849,,,,,,,,,,
3,A10023356,,,,,,,,,,
4,A10023343,,,,,,,,,,
5,A10045403,0,0,0,0,0,0,8318858,35704320,1072880,19194710
6,A10045401,0,0,205920,0,0,0,6680270,0,4340500,0
7,A10045601,0,0,0,0,0,0,4535840,31597330,1082150,0
8,A10045302,0,0,926190,0,0,0,39463952,100030860,0,54651670
9,A10045404,0,0,0,0,0,0,9221454,46083220,6164900,26454820
10,A10045001,0,0,0,0,0,0,6661380,17882580,565220,8925530
11,A10045402,0,0,173110,0,0,0,-485980,10105600,0,0
12,A10078901,0,0,0,0,0,0,12531982,38832510,-308720,14596650
13,A10078902,0,0,0,0,0,0,-610,3851630,0,2345540
14,A10045301,0,0,0,0,0,0,4497760,28736980,282060,22475570
15,A10078103,165880,0,0,0,0,0,6697,3999620,0,2536380
16,A10078102,,,,,,,,,,
17,A10045002,0,0,0,0,0,0,16829955,39106090,-1024410,16290670
18,A13302201,0,0,0,0,0,0,2408410,9425080,66970,4231870
19,A10025456,0,0,0,0,0,0,3102427,11513170,246870,5611830
20,A10025372,0,0,0,0,0,0,2620220,6351730,425450,2146910
21,A10044002,0,0,0,0,0,0,5727312,66627320,2285700,25873500
22,A10044001,0,0,0,0,0,0,2669090,5844510,151470,4083120
23,A10027364,0,0,0,0,0,0,5307519,11666480,77615,4045030
24,A10024756,,,,,,,,,,
25,A10085902,0,0,0,0,0,0,1296062,0,30710,0
26,A10085903,0,0,446380,0,0,0,7063910,22985480,78530,12968070
27,A10080701,0,0,0,0,0,0,2443844,6976550,-283093,3908070
28,A10026881,0,0,160860,0,0,0,16090160,42071140,3005160,20132330
29,A10026517,0,0,0,0,0,0,1612897,9023460,498270,3017120
